date;ipsrc;ipdst;proto;portdst;ruleid;action;interin;interout
2022-03-07 18:22:31;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:32;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:33;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:35;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:35;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:36;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:37;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:38;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:39;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:41;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:41;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:42;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:43;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:45;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:45;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:46;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:47;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:48;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:49;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:50;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:51;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
